en_MO,"англійская (Макаа, САР (Кітай))"
en_MW,"англійская (Малаві)"
en_MY,"англійская (Малайзія)"
en_UM,"англійская (Малыя Аддаленыя астравы ЗША)"
en_MT,"англійская (Мальта)"
en_MS,"англійская (Мантсерат)"
en_MH,"англійская (Маршалавы Астравы)"
en_MU,"англійская (Маўрыкій)"
en_FM,"англійская (Мікранезія)"
en_NA,"англійская (Намібія)"
en_NR,"англійская (Науру)"
en_NG,"англійская (Нігерыя)"
en_NL,"англійская (Нідэрланды)"
en_NU,"англійская (Ніуэ)"
en_NZ,"англійская (Новая Зеландыя)"
en_PK,"англійская (Пакістан)"
en_PW,"англійская (Палау)"
en_PG,"англійская (Папуа-Новая Гвінея)"
en_ZA,"англійская (Паўднёваафрыканская Рэспубліка)"
en_SS,"англійская (Паўднёвы Судан)"
en_MP,"англійская (Паўночныя Марыянскія астравы)"
en_PR,"англійская (Пуэрта-Рыка)"
en_RW,"англійская (Руанда)"
en_SB,"англійская (Саламонавы Астравы)"
en_WS,"англійская (Самоа)"
en_SZ,"англійская (Свазіленд)"
en_SC,"англійская (Сейшэльскія Астравы)"
en_VC,"англійская (Сент-Вінсент і Грэнадзіны)"
en_KN,"англійская (Сент-Кітс і Невіс)"
en_LC,"англійская (Сент-Люсія)"
en_SG,"англійская (Сінгапур)"
en_SX,"англійская (Сінт-Мартэн)"
en_SI,"англійская (Славенія)"
en_SD,"англійская (Судан)"
en_SL,"англійская (Сьера-Леонэ)"
en_TK,"англійская (Такелау)"
en_TZ,"англійская (Танзанія)"
en_TO,"англійская (Тонга)"
en_TT,"англійская (Трынідад і Табага)"
en_TV,"англійская (Тувалу)"
en_UG,"англійская (Уганда)"
en_FK,"англійская (Фалклендскія астравы)"
en_FJ,"англійская (Фіджы)"
en_PH,"англійская (Філіпіны)"
en_FI,"англійская (Фінляндыя)"
en_TC,"англійская (Цёркс і Кайкас)"
en_CH,"англійская (Швейцарыя)"
en_SE,"англійская (Швецыя)"
en_ER,"англійская (Эрытрэя)"
en_JM,"англійская (Ямайка)"
ar,арабская
ar_AE,"арабская (Аб’яднаныя Арабскія Эміраты)"
ar_DZ,"арабская (Алжыр)"
ar_OM,"арабская (Аман)"
ar_BH,"арабская (Бахрэйн)"
ar_DJ,"арабская (Джыбуці)"
ar_EG,"арабская (Егіпет)"
ar_YE,"арабская (Емен)"
ar_EH,"арабская (Заходняя Сахара)"
ar_JO,"арабская (Іарданія)"
ar_IL,"арабская (Ізраіль)"
ar_IQ,"арабская (Ірак)"
ar_KM,"арабская (Каморскія Астравы)"
ar_QA,"арабская (Катар)"
ar_KW,"арабская (Кувейт)"
ar_LB,"арабская (Ліван)"
ar_LY,"арабская (Лівія)"
ar_MA,"арабская (Марока)"
ar_MR,"арабская (Маўрытанія)"
ar_PS,"арабская (Палесцінскія Тэрыторыі)"
ar_SS,"арабская (Паўднёвы Судан)"
ar_SO,"арабская (Самалі)"
ar_SA,"арабская (Саудаўская Аравія)"
ar_SY,"арабская (Сірыя)"
ar_SD,"арабская (Судан)"
ar_TN,"арабская (Туніс)"
ar_TD,"арабская (Чад)"
ar_ER,"арабская (Эрытрэя)"
hy,армянская
hy_AM,"армянская (Арменія)"
om,арома
om_KE,"арома (Кенія)"
om_ET,"арома (Эфіопія)"
as,асамская
as_IN,"асамская (Індыя)"
os,асецінская
os_GE,"асецінская (Грузія)"
os_RU,"асецінская (Расія)"
af,афрыкаанс
af_NA,"афрыкаанс (Намібія)"
af_ZA,"афрыкаанс (Паўднёваафрыканская Рэспубліка)"
bg,балгарская
bg_BG,"балгарская (Балгарыя)"
bm,бамбара
bm_ML,"бамбара (Малі)"
eu,баскская
eu_ES,"баскская (Іспанія)"
bs,баснійская
bs_BA,"баснійская (Боснія і Герцагавіна)"
bs_Cyrl_BA,"баснійская (кірыліца, Боснія і Герцагавіна)"
bs_Cyrl,"баснійская (кірыліца)"
bs_Latn_BA,"баснійская (лацініца, Боснія і Герцагавіна)"
bs_Latn,"баснійская (лацініца)"
be,беларуская
be_BY,"беларуская (Беларусь)"
bn,бенгальская
bn_BD,"бенгальская (Бангладэш)"
bn_IN,"бенгальская (Індыя)"
my,бірманская
my_MM,"бірманская (М’янма (Бірма))"
br,брэтонская
br_FR,"брэтонская (Францыя)"
vi,в’етнамская
vi_VN,"в’етнамская (В’етнам)"
cy,валійская
cy_GB,"валійская (Вялікабрытанія)"
hu,венгерская
hu_HU,"венгерская (Венгрыя)"
gl,галісійская
gl_ES,"галісійская (Іспанія)"
lg,ганда
lg_UG,"ганда (Уганда)"
ka,грузінская
ka_GE,"грузінская (Грузія)"
kl,грэнландская
kl_GL,"грэнландская (Грэнландыя)"
el,грэчаская
el_GR,"грэчаская (Грэцыя)"
el_CY,"грэчаская (Кіпр)"
gu,гуджараці
gu_IN,"гуджараці (Індыя)"
da,дацкая
da_GL,"дацкая (Грэнландыя)"
da_DK,"дацкая (Данія)"
dz,дзонг-кэ
dz_BT,"дзонг-кэ (Бутан)"
yo,ёруба
yo_BJ,"ёруба (Бенін)"
yo_NG,"ёруба (Нігерыя)"
fy,"заходняя фрызская"
fy_NL,"заходняя фрызская (Нідэрланды)"
zu,зулу
zu_ZA,"зулу (Паўднёваафрыканская Рэспубліка)"
ig,ігба
ig_NG,"ігба (Нігерыя)"
yi,ідыш
id,інданезійская
id_ID,"інданезійская (Інданезія)"
ga,ірландская
ga_IE,"ірландская (Ірландыя)"
is,ісландская
is_IS,"ісландская (Ісландыя)"
es,іспанская
es_AR,"іспанская (Аргенціна)"
es_BO,"іспанская (Балівія)"
es_BZ,"іспанская (Беліз)"
es_BR,"іспанская (Бразілія)"
es_VE,"іспанская (Венесуэла)"
es_HN,"іспанская (Гандурас)"
es_GT,"іспанская (Гватэмала)"
es_DO,"іспанская (Дамініканская Рэспубліка)"
es_US,"іспанская (Злучаныя Штаты Амерыкі)"
es_ES,"іспанская (Іспанія)"
es_CO,"іспанская (Калумбія)"
es_IC,"іспанская (Канарскія астравы)"
es_CR,"іспанская (Коста-Рыка)"
es_CU,"іспанская (Куба)"
es_MX,"іспанская (Мексіка)"
es_NI,"іспанская (Нікарагуа)"
es_PA,"іспанская (Панама)"
es_PY,"іспанская (Парагвай)"
es_PE,"іспанская (Перу)"
es_PR,"іспанская (Пуэрта-Рыка)"
es_SV,"іспанская (Сальвадор)"
es_EA,"іспанская (Сеўта і Мелілья)"
es_UY,"іспанская (Уругвай)"
es_PH,"іспанская (Філіпіны)"
es_CL,"іспанская (Чылі)"
es_EC,"іспанская (Эквадор)"
es_GQ,"іспанская (Экватарыяльная Гвінея)"
it,італьянская
it_VA,"італьянская (Ватыкан)"
it_IT,"італьянская (Італія)"
it_SM,"італьянская (Сан-Марына)"
it_CH,"італьянская (Швейцарыя)"
he,іўрыт
he_IL,"іўрыт (Ізраіль)"
kk,казахская
kk_KZ,"казахская (Казахстан)"
kn,канада
kn_IN,"канада (Індыя)"
ko,карэйская
ko_KR,"карэйская (Паўднёвая Карэя)"
ko_KP,"карэйская (Паўночная Карэя)"
ca,каталанская
ca_AD,"каталанская (Андора)"
ca_ES,"каталанская (Іспанія)"
ca_IT,"каталанская (Італія)"
ca_FR,"каталанская (Францыя)"
ks,кашмірская
ks_IN,"кашмірская (Індыя)"
qu,кечуа
qu_BO,"кечуа (Балівія)"
qu_PE,"кечуа (Перу)"
qu_EC,"кечуа (Эквадор)"
ki,кікуйю
ki_KE,"кікуйю (Кенія)"
ky,кіргізская
ky_KG,"кіргізская (Кыргызстан)"
zh,кітайская
zh_HK,"кітайская (Ганконг, САР (Кітай))"
zh_CN,"кітайская (Кітай)"
zh_MO,"кітайская (Макаа, САР (Кітай))"
zh_SG,"кітайская (Сінгапур)"
zh_Hans_HK,"кітайская (спрошчанае кітайскае, Ганконг, САР (Кітай))"
zh_Hans_CN,"кітайская (спрошчанае кітайскае, Кітай)"
zh_Hans_MO,"кітайская (спрошчанае кітайскае, Макаа, САР (Кітай))"
zh_Hans_SG,"кітайская (спрошчанае кітайскае, Сінгапур)"
zh_Hans,"кітайская (спрошчанае кітайскае)"
zh_TW,"кітайская (Тайвань)"
zh_Hant_HK,"кітайская (традыцыйнае кітайскае, Ганконг, САР (Кітай))"
zh_Hant_MO,"кітайская (традыцыйнае кітайскае, Макаа, САР (Кітай))"
zh_Hant_TW,"кітайская (традыцыйнае кітайскае, Тайвань)"
zh_Hant,"кітайская (традыцыйнае кітайскае)"
kw,корнская
kw_GB,"корнская (Вялікабрытанія)"
km,кхмерская
km_KH,"кхмерская (Камбоджа)"
lo,лаоская
lo_LA,"лаоская (Лаос)"
lv,латышская
lv_LV,"латышская (Латвія)"
ln,лінгала
ln_AO,"лінгала (Ангола)"
ln_CG,"лінгала (Конга - Бразавіль)"
ln_CD,"лінгала (Конга (Кіншаса))"
ln_CF,"лінгала (Цэнтральнаафрыканская Рэспубліка)"
lt,літоўская
lt_LT,"літоўская (Літва)"
lu,луба-катанга
lu_CD,"луба-катанга (Конга (Кіншаса))"
lb,люксембургская
lb_LU,"люксембургская (Люксембург)"
mk,македонская
mk_MK,"македонская (Македонія)"
mg,малагасійская
mg_MG,"малагасійская (Мадагаскар)"
ms,малайская
ms_BN,"малайская (Бруней)"
ms_MY,"малайская (Малайзія)"
ms_SG,"малайская (Сінгапур)"
ml,малаялам
ml_IN,"малаялам (Індыя)"
mt,мальтыйская
mt_MT,"мальтыйская (Мальта)"
mn,мангольская
mn_MN,"мангольская (Манголія)"
mr,маратхі
mr_IN,"маратхі (Індыя)"
gv,мэнская
gv_IM,"мэнская (Востраў Мэн)"
no,нарвежская
nb,"нарвежская (букмол)"
nn_NO,"нарвежская (Нарвегія)"
no_NO,"нарвежская (Нарвегія)"
nb_NO,"нарвежская (Нарвегія)"
nn,"нарвежская (нюношк)"
nb_SJ,"нарвежская (Шпіцберген і Ян-Маен)"
ne,непальская
ne_IN,"непальская (Індыя)"
ne_NP,"непальская (Непал)"
nl,нідэрландская
nl_AW,"нідэрландская (Аруба)"
nl_BE,"нідэрландская (Бельгія)"
nl_BQ,"нідэрландская (Карыбскія Нідэрланды)"
nl_CW,"нідэрландская (Кюрасаа)"
nl_NL,"нідэрландская (Нідэрланды)"
nl_SX,"нідэрландская (Сінт-Мартэн)"
nl_SR,"нідэрландская (Сурынам)"
de,нямецкая
de_AT,"нямецкая (Аўстрыя)"
de_BE,"нямецкая (Бельгія)"
de_DE,"нямецкая (Германія)"
de_IT,"нямецкая (Італія)"
de_LI,"нямецкая (Ліхтэнштэйн)"
de_LU,"нямецкая (Люксембург)"
de_CH,"нямецкая (Швейцарыя)"
or,орыя
or_IN,"орыя (Індыя)"
pa,панджабі
pa_Arab_PK,"панджабі (арабскае, Пакістан)"
pa_Arab,"панджабі (арабскае)"
pa_Guru_IN,"панджабі (гурмукхі, Індыя)"
pa_Guru,"панджабі (гурмукхі)"
pa_IN,"панджабі (Індыя)"
pa_PK,"панджабі (Пакістан)"
pt,партугальская
pt_AO,"партугальская (Ангола)"
pt_BR,"партугальская (Бразілія)"
pt_GW,"партугальская (Гвінея-Бісау)"
pt_CV,"партугальская (Каба-Вердэ)"
pt_LU,"партугальская (Люксембург)"
pt_MZ,"партугальская (Мазамбік)"
pt_MO,"партугальская (Макаа, САР (Кітай))"
pt_PT,"партугальская (Партугалія)"
pt_ST,"партугальская (Сан-Тамэ і Прынсіпі)"
pt_TL,"партугальская (Тымор-Лешці)"
pt_CH,"партугальская (Швейцарыя)"
pt_GQ,"партугальская (Экватарыяльная Гвінея)"
se,паўночнасаамская
se_NO,"паўночнасаамская (Нарвегія)"
se_FI,"паўночнасаамская (Фінляндыя)"
se_SE,"паўночнасаамская (Швецыя)"
nd,"паўночная ндэбеле"
nd_ZW,"паўночная ндэбеле (Зімбабвэ)"
pl,польская
pl_PL,"польская (Польшча)"
ps,пушту
ps_AF,"пушту (Афганістан)"
rw,руанда
rw_RW,"руанда (Руанда)"
ro,румынская
ro_MD,"румынская (Малдова)"
ro_RO,"румынская (Румынія)"
rn,рундзі
rn_BI,"рундзі (Бурундзі)"
ru,руская
ru_BY,"руская (Беларусь)"
ru_KZ,"руская (Казахстан)"
ru_KG,"руская (Кыргызстан)"
ru_MD,"руская (Малдова)"
ru_RU,"руская (Расія)"
ru_UA,"руская (Украіна)"
rm,рэтараманская
rm_CH,"рэтараманская (Швейцарыя)"
so,самалі
so_DJ,"самалі (Джыбуці)"
so_KE,"самалі (Кенія)"
so_SO,"самалі (Самалі)"
so_ET,"самалі (Эфіопія)"
sg,санга
sg_CF,"санга (Цэнтральнаафрыканская Рэспубліка)"
sh,сербскахарвацкая
sh_BA,"сербскахарвацкая (Боснія і Герцагавіна)"
sr,сербская
sr_BA,"сербская (Боснія і Герцагавіна)"
sr_Cyrl_BA,"сербская (кірыліца, Боснія і Герцагавіна)"
sr_Cyrl_XK,"сербская (кірыліца, Косава)"
sr_Cyrl_RS,"сербская (кірыліца, Сербія)"
sr_Cyrl_ME,"сербская (кірыліца, Чарнагорыя)"
sr_Cyrl,"сербская (кірыліца)"
sr_XK,"сербская (Косава)"
sr_Latn_BA,"сербская (лацініца, Боснія і Герцагавіна)"
sr_Latn_XK,"сербская (лацініца, Косава)"
sr_Latn_RS,"сербская (лацініца, Сербія)"
sr_Latn_ME,"сербская (лацініца, Чарнагорыя)"
sr_Latn,"сербская (лацініца)"
sr_RS,"сербская (Сербія)"
sr_ME,"сербская (Чарнагорыя)"
si,сінгальская
si_LK,"сінгальская (Шры-Ланка)"
sk,славацкая
sk_SK,"славацкая (Славакія)"
sl,славенская
sl_SI,"славенская (Славенія)"
sw,суахілі
sw_KE,"суахілі (Кенія)"
sw_CD,"суахілі (Конга (Кіншаса))"
sw_TZ,"суахілі (Танзанія)"
sw_UG,"суахілі (Уганда)"
ii,"сычуаньская йі"
ii_CN,"сычуаньская йі (Кітай)"
th,тайская
th_TH,"тайская (Тайланд)"
ta,тамільская
ta_IN,"тамільская (Індыя)"
ta_MY,"тамільская (Малайзія)"
ta_SG,"тамільская (Сінгапур)"
ta_LK,"тамільская (Шры-Ланка)"
to,танганская
to_TO,"танганская (Тонга)"
tr,турэцкая
tr_CY,"турэцкая (Кіпр)"
tr_TR,"турэцкая (Турцыя)"
bo,тыбецкая
bo_IN,"тыбецкая (Індыя)"
bo_CN,"тыбецкая (Кітай)"
ti,тыгрынья
ti_ER,"тыгрынья (Эрытрэя)"
ti_ET,"тыгрынья (Эфіопія)"
te,тэлугу
te_IN,"тэлугу (Індыя)"
uz,узбекская
uz_Arab_AF,"узбекская (арабскае, Афганістан)"
uz_Arab,"узбекская (арабскае)"
uz_AF,"узбекская (Афганістан)"
uz_Cyrl_UZ,"узбекская (кірыліца, Узбекістан)"
uz_Cyrl,"узбекская (кірыліца)"
uz_Latn_UZ,"узбекская (лацініца, Узбекістан)"
uz_Latn,"узбекская (лацініца)"
uz_UZ,"узбекская (Узбекістан)"
ug,уйгурская
ug_CN,"уйгурская (Кітай)"
uk,украінская
uk_UA,"украінская (Украіна)"
ur,урду
ur_IN,"урду (Індыя)"
ur_PK,"урду (Пакістан)"
fa,фарсі
fa_AF,"фарсі (Афганістан)"
fa_IR,"фарсі (Іран)"
fo,фарэрская
fo_DK,"фарэрская (Данія)"
fo_FO,"фарэрская (Фарэрскія астравы)"
fi,фінская
fi_FI,"фінская (Фінляндыя)"
fr,французская
fr_DZ,"французская (Алжыр)"
fr_BE,"французская (Бельгія)"
fr_BJ,"французская (Бенін)"
fr_BF,"французская (Буркіна-Фасо)"
fr_BI,"французская (Бурундзі)"
fr_VU,"французская (Вануату)"
fr_GA,"французская (Габон)"
fr_HT,"французская (Гаіці)"
fr_GP,"французская (Гвадэлупа)"
fr_GN,"французская (Гвінея)"
fr_DJ,"французская (Джыбуці)"
fr_CM,"французская (Камерун)"
fr_KM,"французская (Каморскія Астравы)"
fr_CA,"французская (Канада)"
fr_CG,"французская (Конга - Бразавіль)"
fr_CD,"французская (Конга (Кіншаса))"
fr_CI,"французская (Кот-д’Івуар)"
fr_LU,"французская (Люксембург)"
fr_MG,"французская (Мадагаскар)"
fr_YT,"французская (Маёта)"
fr_ML,"французская (Малі)"
fr_MC,"французская (Манака)"
fr_MA,"французская (Марока)"
fr_MQ,"французская (Марцініка)"
fr_MU,"французская (Маўрыкій)"
fr_MR,"французская (Маўрытанія)"
fr_NE,"французская (Нігер)"
fr_NC,"французская (Новая Каледонія)"
fr_RW,"французская (Руанда)"
fr_RE,"французская (Рэюньён)"
fr_SC,"французская (Сейшэльскія Астравы)"
fr_BL,"французская (Сен-Бартэльмі)"
fr_MF,"французская (Сен-Мартэн)"
fr_PM,"французская (Сен-П’ер і Мікелон)"
fr_SN,"французская (Сенегал)"
fr_SY,"французская (Сірыя)"
fr_TG,"французская (Тога)"
fr_TN,"французская (Туніс)"
fr_WF,"французская (Уоліс і Футуна)"
fr_GF,"французская (Французская Гвіяна)"
fr_PF,"французская (Французская Палінезія)"
fr_FR,"французская (Францыя)"
fr_CF,"французская (Цэнтральнаафрыканская Рэспубліка)"
fr_TD,"французская (Чад)"
fr_CH,"французская (Швейцарыя)"
fr_GQ,"французская (Экватарыяльная Гвінея)"
ff,фула
ff_GN,"фула (Гвінея)"
ff_CM,"фула (Камерун)"
ff_MR,"фула (Маўрытанія)"
ff_SN,"фула (Сенегал)"
hr,харвацкая
hr_BA,"харвацкая (Боснія і Герцагавіна)"
hr_HR,"харвацкая (Харватыя)"
ha,хауса
ha_GH,"хауса (Гана)"
ha_NE,"хауса (Нігер)"
ha_NG,"хауса (Нігерыя)"
hi,хіндзі
hi_IN,"хіндзі (Індыя)"
ce,чачэнская
ce_RU,"чачэнская (Расія)"
cs,чэшская
cs_CZ,"чэшская (Чэхія)"
gd,"шатландская гэльская"
gd_GB,"шатландская гэльская (Вялікабрытанія)"
sv,шведская
sv_AX,"шведская (Аландскія астравы)"
sv_FI,"шведская (Фінляндыя)"
sv_SE,"шведская (Швецыя)"
sn,шона
sn_ZW,"шона (Зімбабвэ)"
ee,эве
ee_GH,"эве (Гана)"
ee_TG,"эве (Тога)"
eo,эсперанта
et,эстонская
et_EE,"эстонская (Эстонія)"
ja,японская
ja_JP,"японская (Японія)"
tl,Tagalog
tl_PH,"Tagalog (Philippines)"
