id,value
pa_Arab_PK,"បឹនជាពិ (អារ៉ាប់, ប៉ាគីស្ថាន)"
pa_Arab,"បឹនជាពិ (អារ៉ាប់)"
pa_IN,"បឹនជាពិ (ឥណ្ឌា)"
bg,ប៊ុលហ្គារី
bg_BG,"ប៊ុលហ្គារី (ប៊ុលហ្គារី)"
bs,បូស្នី
bs_BA,"បូស្នី (បូស្នី និងហឺហ្សីហ្គូវីណា)"
bs_Cyrl_BA,"បូស្នី (ស៊ីរីលីក, បូស្នី និងហឺហ្សីហ្គូវីណា)"
bs_Cyrl,"បូស្នី (ស៊ីរីលីក)"
bs_Latn_BA,"បូស្នី (ឡាតាំង, បូស្នី និងហឺហ្សីហ្គូវីណា)"
bs_Latn,"បូស្នី (ឡាតាំង)"
pl,ប៉ូឡូញ
pl_PL,"ប៉ូឡូញ (ប៉ូឡូញ)"
be,បេឡារុស្ស
be_BY,"បេឡារុស្ស (បេឡារុស្ស)"
br,ប្រីស្តុន
br_FR,"ប្រីស្តុន (បារាំង)"
pt,ព័រទុយហ្គាល់
pt_CV,"ព័រទុយហ្គាល់ (កាបវែរ)"
pt_TL,"ព័រទុយហ្គាល់ (ទីម័រ)"
pt_BR,"ព័រទុយហ្គាល់ (ប្រេស៊ីល)"
pt_PT,"ព័រទុយហ្គាល់ (ព័រទុយហ្គាល់)"
pt_MO,"ព័រទុយហ្គាល់ (ម៉ាកាវ)"
pt_MZ,"ព័រទុយហ្គាល់ (ម៉ូហ្សាំប៊ិក)"
pt_LU,"ព័រទុយហ្គាល់ (លុចហ្សំបួរ)"
pt_ST,"ព័រទុយហ្គាល់ (សៅតូម៉េ និង ប្រាំងស៊ីប)"
pt_CH,"ព័រទុយហ្គាល់ (ស្វីស)"
pt_GW,"ព័រទុយហ្គាល់ (ហ្គីណេប៊ីសូ)"
pt_GQ,"ព័រទុយហ្គាល់ (ហ្គីណេអេក្វាទ័រ)"
pt_AO,"ព័រទុយហ្គាល់ (អង់ហ្គោឡា)"
fa,ភឺសៀន
fa_AF,"ភឺសៀន (អាហ្វហ្គានីស្ថាន)"
fa_IR,"ភឺសៀន (អ៊ីរ៉ង់)"
my,ភូមា
my_MM,"ភូមា (មីយ៉ាន់ម៉ា (ភូមា))"
mr,ម៉ារ៉ាធី
mr_IN,"ម៉ារ៉ាធី (ឥណ្ឌា)"
mt,ម៉ាល់តា
mt_MT,"ម៉ាល់តា (ម៉ាល់តា)"
mk,ម៉ាសេដូនី
mk_MK,"ម៉ាសេដូនី (ម៉ាសេដូនា)"
ml,ម៉ាឡាយ៉ាឡាម
ml_IN,"ម៉ាឡាយ៉ាឡាម (ឥណ្ឌា)"
mg,ម៉ាឡាហ្គាស៊ី
mg_MG,"ម៉ាឡាហ្គាស៊ី (ម៉ាដាហ្គាស្កា)"
ms,ម៉ាឡេ
ms_BN,"ម៉ាឡេ (ប្រ៊ុយណេ)"
ms_MY,"ម៉ាឡេ (ម៉ាឡេស៊ី)"
ms_SG,"ម៉ាឡេ (សិង្ហបុរី)"
mn,ម៉ុងហ្គោលី
mn_MN,"ម៉ុងហ្គោលី (ម៉ុងហ្គោលី)"
gv,មេន
gv_IM,"មេន (អែលអុហ្វមែន)"
yo,យរូបា
yo_NG,"យរូបា (នីហ្សេរីយ៉ា)"
yo_BJ,"យរូបា (បេណាំង)"
yi,យីឌីហ្ស
ru,រុស្ស៊ី
ru_KZ,"រុស្ស៊ី (កាហ្សាក់ស្ថាន)"
ru_KG,"រុស្ស៊ី (កៀហ្ស៊ីស៊ីស្ថាន)"
ru_BY,"រុស្ស៊ី (បេឡារុស្ស)"
ru_MD,"រុស្ស៊ី (ម៉ុលដាវី)"
ru_RU,"រុស្ស៊ី (រុស្ស៊ី)"
ru_UA,"រុស្ស៊ី (អ៊ុយក្រែន)"
rn,រូន្ឌី
rn_BI,"រូន្ឌី (ប៊ូរុនឌី)"
rm,រ៉ូម៉ង់
rm_CH,"រ៉ូម៉ង់ (ស្វីស)"
ro,រូម៉ានី
ro_MD,"រូម៉ានី (ម៉ុលដាវី)"
ro_RO,"រូម៉ានី (រូម៉ានី)"
lt,លីទុយអានី
lt_LT,"លីទុយអានី (លីទុយអានី)"
ln,លីនកាឡា
ln_CG,"លីនកាឡា (កុងហ្គោ - ប្រាហ្សាវីល)"
ln_CD,"លីនកាឡា (កុងហ្គោ- គីនស្ហាសា)"
ln_CF,"លីនកាឡា (សាធារណរដ្ឋអាហ្វ្រិកកណ្ដាល)"
ln_AO,"លីនកាឡា (អង់ហ្គោឡា)"
lb,លុចហ្សំបួរ
lb_LU,"លុចហ្សំបួរ (លុចហ្សំបួរ)"
lu,លូបាកាតានហ្គា
lu_CD,"លូបាកាតានហ្គា (កុងហ្គោ- គីនស្ហាសា)"
vi,វៀតណាម
vi_VN,"វៀតណាម (វៀតណាម)"
cy,វេល
cy_GB,"វេល (ចក្រភព​អង់គ្លេស)"
sg,សានហ្គោ
sg_CF,"សានហ្គោ (សាធារណរដ្ឋអាហ្វ្រិកកណ្ដាល)"
se,សាមីខាងជើង
se_NO,"សាមីខាងជើង (ន័រវែស)"
se_SE,"សាមីខាងជើង (ស៊ុយអែត)"
se_FI,"សាមីខាងជើង (ហ្វាំងឡង់)"
ii,ស៊ីឈាន់យី
ii_CN,"ស៊ីឈាន់យី (ចិន)"
sh,សឺបូក្រូអាត
sh_BA,"សឺបូក្រូអាត (បូស្នី និងហឺហ្សីហ្គូវីណា)"
sv,ស៊ុយអែត
sv_AX,"ស៊ុយអែត (កោះ​អាឡាំង)"
sv_SE,"ស៊ុយអែត (ស៊ុយអែត)"
sv_FI,"ស៊ុយអែត (ហ្វាំងឡង់)"
sn,សូណា
sn_ZW,"សូណា (ហ្ស៊ីមបាវ៉េ)"
so,សូម៉ាលី
so_KE,"សូម៉ាលី (កេនយ៉ា)"
so_DJ,"សូម៉ាលី (ជីប៊ូទី)"
so_SO,"សូម៉ាលី (សូម៉ាលី)"
so_ET,"សូម៉ាលី (អេត្យូពី)"
zu,សូលូ
zu_ZA,"សូលូ (អាហ្វ្រិកខាងត្បូង)"
sr,ស៊ែប
sr_XK,"ស៊ែប (កូសូវ៉ូ)"
sr_BA,"ស៊ែប (បូស្នី និងហឺហ្សីហ្គូវីណា)"
sr_ME,"ស៊ែប (ម៉ុងតេណេហ្គ្រោ)"
sr_Cyrl_XK,"ស៊ែប (ស៊ីរីលីក, កូសូវ៉ូ)"
sr_Cyrl_BA,"ស៊ែប (ស៊ីរីលីក, បូស្នី និងហឺហ្សីហ្គូវីណា)"
sr_Cyrl_ME,"ស៊ែប (ស៊ីរីលីក, ម៉ុងតេណេហ្គ្រោ)"
sr_Cyrl_RS,"ស៊ែប (ស៊ីរីលីក, ស៊ែប)"
sr_Cyrl,"ស៊ែប (ស៊ីរីលីក)"
sr_RS,"ស៊ែប (ស៊ែប)"
sr_Latn_XK,"ស៊ែប (ឡាតាំង, កូសូវ៉ូ)"
sr_Latn_BA,"ស៊ែប (ឡាតាំង, បូស្នី និងហឺហ្សីហ្គូវីណា)"
sr_Latn_ME,"ស៊ែប (ឡាតាំង, ម៉ុងតេណេហ្គ្រោ)"
sr_Latn_RS,"ស៊ែប (ឡាតាំង, ស៊ែប)"
sr_Latn,"ស៊ែប (ឡាតាំង)"
gd,ស្កុតហ្កែលិគ
gd_GB,"ស្កុតហ្កែលិគ (ចក្រភព​អង់គ្លេស)"
si,ស្រីលង្កា
si_LK,"ស្រីលង្កា (ស្រីលង្កា)"
sk,ស្លូវ៉ាគី
sk_SK,"ស្លូវ៉ាគី (ស្លូវ៉ាគី)"
sl,ស្លូវ៉ានី
sl_SI,"ស្លូវ៉ានី (ស្លូវេនី)"
sw,ស្វាហ៊ីលី
sw_CD,"ស្វាហ៊ីលី (កុងហ្គោ- គីនស្ហាសា)"
sw_KE,"ស្វាហ៊ីលី (កេនយ៉ា)"
sw_TZ,"ស្វាហ៊ីលី (តង់ហ្សានី)"
sw_UG,"ស្វាហ៊ីលី (អ៊ូហ្គង់ដា)"
hi,ហិណ្ឌី
hi_IN,"ហិណ្ឌី (ឥណ្ឌា)"
hu,ហុងគ្រី
hu_HU,"ហុងគ្រី (ហុងគ្រី)"
ha,ហូសា
ha_NE,"ហូសា (នីហ្សេរ)"
ha_NG,"ហូសា (នីហ្សេរីយ៉ា)"
ha_GH,"ហូសា (ហ្គាណា)"
nl,ហូឡង់
nl_CW,"ហូឡង់ (កូរ៉ាកៅ)"
nl_BE,"ហូឡង់ (បែលហ្ស៊ិក)"
nl_SX,"ហូឡង់ (សីង​ម៉ាធីន)"
nl_SR,"ហូឡង់ (សូរីណាម)"
nl_BQ,"ហូឡង់ (ហុល្លង់ ការ៉ាប៊ីន)"
nl_NL,"ហូឡង់ (ហូឡង់)"
nl_AW,"ហូឡង់ (អារូបា)"
gu,ហ្កុយ៉ារាទី
gu_IN,"ហ្កុយ៉ារាទី (ឥណ្ឌា)"
lg,ហ្គាន់ដា
lg_UG,"ហ្គាន់ដា (អ៊ូហ្គង់ដា)"
gl,ហ្គាលីស្យាន
gl_ES,"ហ្គាលីស្យាន (អេស្ប៉ាញ)"
qu,ហ្គិកឈួ
qu_BO,"ហ្គិកឈួ (បូលីវី)"
qu_PE,"ហ្គិកឈួ (ប៉េរូ)"
qu_EC,"ហ្គិកឈួ (អេក្វាឌ័រ)"
fo,ហ្វារូស
fo_FO,"ហ្វារូស (កោះ​ហ្វារ៉ូ)"
fo_DK,"ហ្វារូស (ដាណឺម៉ាក)"
ff,ហ្វ៊ូឡា
ff_CM,"ហ្វ៊ូឡា (កាមេរូន)"
ff_MR,"ហ្វ៊ូឡា (ម៉ូរីតានី)"
ff_SN,"ហ្វ៊ូឡា (សេណេហ្គាល់)"
ff_GN,"ហ្វ៊ូឡា (ហ្គីណេ)"
fi,ហ្វាំងឡង់
fi_FI,"ហ្វាំងឡង់ (ហ្វាំងឡង់)"
fy,ហ្វ្រីស៊ានខាងលិច
fy_NL,"ហ្វ្រីស៊ានខាងលិច (ហូឡង់)"
ka,ហ្សក​ហ្ស៊ី
ka_GE,"ហ្សក​ហ្ស៊ី (ហ្សកហ្ស៊ី)"
lv,ឡាតវី
lv_LV,"ឡាតវី (ឡាតវីយ៉ា)"
lo,ឡាវ
lo_LA,"ឡាវ (ឡាវ)"
en,អង់គ្លេស
en_CA,"អង់គ្លេស (កាណាដា)"
en_CM,"អង់គ្លេស (កាមេរូន)"
en_KE,"អង់គ្លេស (កេនយ៉ា)"
en_CC,"អង់គ្លេស (កោះ​កូកូស (គីលីង))"
en_KY,"អង់គ្លេស (កោះ​កៃម៉ង់)"
en_CK,"អង់គ្លេស (កោះ​ខូក)"
en_CX,"អង់គ្លេស (កោះ​គ្រីស្មាស)"
en_NF,"អង់គ្លេស (កោះ​ណ័រហ្វក់)"
en_TC,"អង់គ្លេស (កោះ​ទួគ និង កៃកូស)"
en_PN,"អង់គ្លេស (កោះ​ភីតកាន)"
en_MP,"អង់គ្លេស (កោះ​ម៉ារីណា​ខាង​ជើង)"
en_MH,"អង់គ្លេស (កោះ​ម៉ាស់សល)"
en_VG,"អង់គ្លេស (កោះ​វឺជិន​ចក្រភព​អង់គ្លេស)"
en_VI,"អង់គ្លេស (កោះ​វឺជីន​អាមេរិក)"
en_SB,"អង់គ្លេស (កោះ​សូឡូម៉ុង)"
en_FK,"អង់គ្លេស (កោះ​ហ្វក់ឡែន)"
en_UM,"អង់គ្លេស (កោះ​អៅឡាយីង​អាមេរិក)"
en_KI,"អង់គ្លេស (គិរិបាទី)"
en_GB,"អង់គ្លេស (ចក្រភព​អង់គ្លេស)"
en_JM,"អង់គ្លេស (ចាម៉ៃកា)"
en_JE,"អង់គ្លេស (ជឺស៊ី)"
en_DK,"អង់គ្លេស (ដាណឺម៉ាក)"
en_DM,"អង់គ្លេស (ដូមីនីក)"
en_IO,"អង់គ្លេស (ដែនដី​អង់គ្លេស​នៅ​មហា​សមុទ្រ​ឥណ្ឌា)"
en_DG,"អង់គ្លេស (ឌៀហ្គោហ្គាស៊ី)"
en_NA,"អង់គ្លេស (ណាមីប៊ី)"
en_NR,"អង់គ្លេស (ណូរូ)"
en_NU,"អង់គ្លេស (ណៀ)"
en_TZ,"អង់គ្លេស (តង់ហ្សានី)"
en_TO,"អង់គ្លេស (តុងហ្គា)"
en_TK,"អង់គ្លេស (តូខេឡៅ)"
en_TV,"អង់គ្លេស (ទូវ៉ាលូ)"
en_TT,"អង់គ្លេស (ទ្រីនីដាត និង​តូបាហ្គោ)"
en_NG,"អង់គ្លេស (នីហ្សេរីយ៉ា)"
en_NZ,"អង់គ្លេស (នូវែលហ្សេឡង់)"
en_PK,"អង់គ្លេស (ប៉ាគីស្ថាន)"
en_BB,"អង់គ្លេស (បាបាដុស)"
en_PG,"អង់គ្លេស (ប៉ាពួញ៉ូហ្គីណេ)"
en_BS,"អង់គ្លេស (បាហាម៉ា)"
en_BM,"អង់គ្លេស (ប៊ឺមុយដា)"
en_BW,"អង់គ្លេស (បុតស្វាណា)"
en_BI,"អង់គ្លេស (ប៊ូរុនឌី)"
en_BZ,"អង់គ្លេស (បេលីហ្ស)"
en_BE,"អង់គ្លេស (បែលហ្ស៊ិក)"
en_PW,"អង់គ្លេស (ផៅឡូ)"
en_PR,"អង់គ្លេស (ព័រតូរីកូ)"
en_MO,"អង់គ្លេស (ម៉ាកាវ)"
en_MG,"អង់គ្លេស (ម៉ាដាហ្គាស្កា)"
en_MT,"អង់គ្លេស (ម៉ាល់តា)"
en_MW,"អង់គ្លេស (ម៉ាឡាវី)"
en_MY,"អង់គ្លេស (ម៉ាឡេស៊ី)"
en_FM,"អង់គ្លេស (មីក្រូណេស៊ី)"
en_MS,"អង់គ្លេស (ម៉ុង​សេរ៉ង់)"
en_MU,"អង់គ្លេស (ម៉ូរីស)"
en_RW,"អង់គ្លេស (រវ៉ាន់ដា)"
en_LR,"អង់គ្លេស (លីបេរីយ៉ា)"
en_VU,"អង់គ្លេស (វ៉ានូអាទូ)"
en_KN,"អង់គ្លេស (សង់ឃីត និង​ណេវីស)"
en_LC,"អង់គ្លេស (សង់​លូសៀ)"
en_SH,"អង់គ្លេស (សង់​ហេឡេណា)"
en_US,"អង់គ្លេស (សហរដ្ឋអាមេរិក)"
en_AS,"អង់គ្លេស (សាម័រ អាមេរិកាំង)"
en_WS,"អង់គ្លេស (សាម័រ)"
en_SG,"អង់គ្លេស (សិង្ហបុរី)"
en_SX,"អង់គ្លេស (សីង​ម៉ាធីន)"
en_CY,"អង់គ្លេស (ស៊ីប)"
en_SC,"អង់គ្លេស (សីសែល)"
en_SE,"អង់គ្លេស (ស៊ុយអែត)"
en_SD,"អង់គ្លេស (ស៊ូដង់)"
en_SS,"អង់គ្លេស (ស៊ូដង់​ខាង​ត្បូង)"
en_SL,"អង់គ្លេស (សេរ៉ាឡេអូន)"
en_VC,"អង់គ្លេស (សាំង​វីនសេន និង​ឌឹ​ហ្គ្រីណាឌីនីស)"
en_SI,"អង់គ្លេស (ស្លូវេនី)"
en_SZ,"អង់គ្លេស (ស្វាហ្ស៊ីឡង់)"
en_CH,"អង់គ្លេស (ស្វីស)"
en_HK,"អង់គ្លេស (ហុងកុង)"
en_NL,"អង់គ្លេស (ហូឡង់)"
en_GH,"អង់គ្លេស (ហ្គាណា)"
en_GI,"អង់គ្លេស (ហ្គីប្រាលតា)"
en_GY,"អង់គ្លេស (ហ្គីយ៉ាណា)"
en_GG,"អង់គ្លេស (ហ្គេនស៊ី)"
en_GU,"អង់គ្លេស (ហ្គាំ)"
en_GM,"អង់គ្លេស (ហ្គាំប៊ី)"
en_GD,"អង់គ្លេស (ហ្គ្រីណាដា)"
en_FJ,"អង់គ្លេស (ហ្វីជី)"
en_PH,"អង់គ្លេស (ហ្វីលីពីន)"
en_FI,"អង់គ្លេស (ហ្វាំងឡង់)"
en_ZW,"អង់គ្លេស (ហ្ស៊ីមបាវ៉េ)"
en_ZM,"អង់គ្លេស (ហ្សាំប៊ី)"
en_LS,"អង់គ្លេស (ឡេសូតូ)"
en_AG,"អង់គ្លេស (អង់ទីហ្គា និង បាប៊ុយដា)"
en_AI,"អង់គ្លេស (អង់ហ្គីឡា)"
en_DE,"អង់គ្លេស (អាល្លឺម៉ង់)"
en_ZA,"អង់គ្លេស (អាហ្វ្រិកខាងត្បូង)"
en_IN,"អង់គ្លេស (ឥណ្ឌា)"
en_IL,"អង់គ្លេស (អ៊ីស្រាអែល)"
en_AT,"អង់គ្លេស (អូទ្រីស)"
en_AU,"អង់គ្លេស (អូស្ត្រាលី)"
en_UG,"អង់គ្លេស (អ៊ូហ្គង់ដា)"
en_IE,"អង់គ្លេស (អៀរឡង់)"
en_ER,"អង់គ្លេស (អេរីទ្រា)"
en_IM,"អង់គ្លេស (អែលអុហ្វមែន)"
ak,អាកាន
ak_GH,"អាកាន (ហ្គាណា)"
hy,អាមេនី
hy_AM,"អាមេនី (អាមេនី)"
ar,អារ៉ាប់
ar_QA,"អារ៉ាប់ (កាតា)"
ar_KM,"អារ៉ាប់ (កូម័រ)"
ar_KW,"អារ៉ាប់ (គុយវ៉ែត)"
ar_TD,"អារ៉ាប់ (ឆាដ)"
ar_DJ,"អារ៉ាប់ (ជីប៊ូទី)"
ar_PS,"អារ៉ាប់ (ដែន​ប៉ាលេស្ទីន)"
ar_TN,"អារ៉ាប់ (ទុយនេស៊ី)"
ar_BH,"អារ៉ាប់ (បារ៉ែន)"
ar_MA,"អារ៉ាប់ (ម៉ារ៉ុក)"
ar_MR,"អារ៉ាប់ (ម៉ូរីតានី)"
ar_YE,"អារ៉ាប់ (យេមែន)"
ar_LB,"អារ៉ាប់ (លីបង់)"
ar_LY,"អារ៉ាប់ (លីប៊ី)"
ar_EH,"អារ៉ាប់ (សាហារ៉ាខាងលិច)"
ar_SY,"អារ៉ាប់ (ស៊ីរី)"
ar_SD,"អារ៉ាប់ (ស៊ូដង់)"
ar_SS,"អារ៉ាប់ (ស៊ូដង់​ខាង​ត្បូង)"
ar_SO,"អារ៉ាប់ (សូម៉ាលី)"
ar_JO,"អារ៉ាប់ (ហ៊្សកដានី)"
ar_AE,"អារ៉ាប់ (អារ៉ាប់រួម)"
ar_SA,"អារ៉ាប់ (អារ៉ាប៊ីសាអូឌីត)"
ar_DZ,"អារ៉ាប់ (អាល់ហ្សេរី)"
ar_IQ,"អារ៉ាប់ (អ៊ីរ៉ាក់)"
ar_IL,"អារ៉ាប់ (អ៊ីស្រាអែល)"
ar_OM,"អារ៉ាប់ (អូម៉ង់)"
ar_ER,"អារ៉ាប់ (អេរីទ្រា)"
ar_EG,"អារ៉ាប់ (អេហ្ស៊ីប)"
sq,អាល់បានី
sq_XK,"អាល់បានី (កូសូវ៉ូ)"
sq_MK,"អាល់បានី (ម៉ាសេដូនា)"
sq_AL,"អាល់បានី (អាល់បានី)"
de,អាល្លឺម៉ង់
de_BE,"អាល្លឺម៉ង់ (បែលហ្ស៊ិក)"
de_LI,"អាល្លឺម៉ង់ (លិចទេនស្តែន)"
de_LU,"អាល្លឺម៉ង់ (លុចហ្សំបួរ)"
de_CH,"អាល្លឺម៉ង់ (ស្វីស)"
de_DE,"អាល្លឺម៉ង់ (អាល្លឺម៉ង់)"
de_IT,"អាល្លឺម៉ង់ (អ៊ីតាលី)"
de_AT,"អាល្លឺម៉ង់ (អូទ្រីស)"
as,អាសាមីស
as_IN,"អាសាមីស (ឥណ្ឌា)"
az,អាស៊ែបៃហ្សង់
az_Cyrl_AZ,"អាស៊ែបៃហ្សង់ (ស៊ីរីលីក, អាស៊ែបៃហ្សង់)"
az_Cyrl,"អាស៊ែបៃហ្សង់ (ស៊ីរីលីក)"
az_Latn_AZ,"អាស៊ែបៃហ្សង់ (ឡាតាំង, អាស៊ែបៃហ្សង់)"
az_Latn,"អាស៊ែបៃហ្សង់ (ឡាតាំង)"
az_AZ,"អាស៊ែបៃហ្សង់ (អាស៊ែបៃហ្សង់)"
