en_SG,"ағылшын тілі (Сингапур)"
en_SX,"ағылшын тілі (Синт-Мартен)"
en_SI,"ағылшын тілі (Словения)"
en_SB,"ағылшын тілі (Соломон аралдары)"
en_MP,"ағылшын тілі (Солтүстік Мариана аралдары)"
en_SD,"ағылшын тілі (Судан)"
en_SL,"ағылшын тілі (Сьерра-Леоне)"
en_TZ,"ағылшын тілі (Танзания)"
en_TC,"ағылшын тілі (Теркс және Кайкос аралдары)"
en_TK,"ағылшын тілі (Токелау)"
en_TO,"ағылшын тілі (Тонга)"
en_TT,"ағылшын тілі (Тринидад және Тобаго)"
en_TV,"ағылшын тілі (Тувалу)"
en_UG,"ағылшын тілі (Уганда)"
en_GB,"ағылшын тілі (Ұлыбритания)"
en_IO,"ағылшын тілі (Үнді мұхитындағы Британ аймағы)"
en_IN,"ағылшын тілі (Үндістан)"
en_FJ,"ағылшын тілі (Фиджи)"
en_PH,"ағылшын тілі (Филиппин)"
en_FI,"ағылшын тілі (Финляндия)"
en_FK,"ағылшын тілі (Фолкленд аралдары)"
en_CH,"ағылшын тілі (Швейцария)"
en_SE,"ағылшын тілі (Швеция)"
en_ER,"ағылшын тілі (Эритрея)"
en_JM,"ағылшын тілі (Ямайка)"
ak,"акан тілі"
ak_GH,"акан тілі (Гана)"
sq,"албан тілі"
sq_AL,"албан тілі (Албания)"
sq_XK,"албан тілі (Косово)"
sq_MK,"албан тілі (Македония)"
am,"амхар тілі"
am_ET,"амхар тілі (Эфиопия)"
ar,"араб тілі"
ar_DZ,"араб тілі (Алжир)"
ar_EH,"араб тілі (Батыс Сахара)"
ar_BH,"араб тілі (Бахрейн)"
ar_AE,"араб тілі (Біріккен Араб Әмірліктері)"
ar_DJ,"араб тілі (Джибути)"
ar_IL,"араб тілі (Израиль)"
ar_JO,"араб тілі (Иордания)"
ar_IQ,"араб тілі (Ирак)"
ar_YE,"араб тілі (Йемен)"
ar_QA,"араб тілі (Катар)"
ar_KM,"араб тілі (Комор аралдары)"
ar_KW,"араб тілі (Кувейт)"
ar_LB,"араб тілі (Ливан)"
ar_LY,"араб тілі (Ливия)"
ar_MR,"араб тілі (Мавритания)"
ar_MA,"араб тілі (Марокко)"
ar_EG,"араб тілі (Мысыр)"
ar_OM,"араб тілі (Оман)"
ar_SS,"араб тілі (Оңтүстік Судан)"
ar_PS,"араб тілі (Палестина аймақтары)"
ar_SA,"араб тілі (Сауд Арабиясы)"
ar_SY,"араб тілі (Сирия)"
ar_SO,"араб тілі (Сомали)"
ar_SD,"араб тілі (Судан)"
ar_TN,"араб тілі (Тунис)"
ar_TD,"араб тілі (Чад)"
ar_ER,"араб тілі (Эритрея)"
hy,"армян тілі"
hy_AM,"армян тілі (Армения)"
as,"ассам тілі"
as_IN,"ассам тілі (Үндістан)"
af,"африкаанс тілі"
af_NA,"африкаанс тілі (Намибия)"
af_ZA,"африкаанс тілі (Оңтүстік Африка Республикасы)"
az,"әзірбайжан тілі"
az_AZ,"әзірбайжан тілі (Әзірбайжан)"
az_Cyrl_AZ,"әзірбайжан тілі (кирилл жазуы, Әзірбайжан)"
az_Cyrl,"әзірбайжан тілі (кирилл жазуы)"
az_Latn_AZ,"әзірбайжан тілі (латын жазуы, Әзірбайжан)"
az_Latn,"әзірбайжан тілі (латын жазуы)"
bm,"бамбара тілі"
bm_ML,"бамбара тілі (Мали)"
eu,"баск тілі"
eu_ES,"баск тілі (Испания)"
fy,"батыс фриз тілі"
fy_NL,"батыс фриз тілі (Нидерланд)"
be,"беларусь тілі"
be_BY,"беларусь тілі (Беларусь)"
bn,"бенгал тілі"
bn_BD,"бенгал тілі (Бангладеш)"
bn_IN,"бенгал тілі (Үндістан)"
my,"бирма тілі"
my_MM,"бирма тілі (Мьянма (Бирма))"
bg,"болгар тілі"
bg_BG,"болгар тілі (Болгария)"
bs,"босния тілі"
bs_BA,"босния тілі (Босния және Герцеговина)"
bs_Cyrl_BA,"босния тілі (кирилл жазуы, Босния және Герцеговина)"
bs_Cyrl,"босния тілі (кирилл жазуы)"
bs_Latn_BA,"босния тілі (латын жазуы, Босния және Герцеговина)"
bs_Latn,"босния тілі (латын жазуы)"
br,"бретон тілі"
br_FR,"бретон тілі (Франция)"
cy,"валлий тілі"
cy_GB,"валлий тілі (Ұлыбритания)"
hu,"венгр тілі"
hu_HU,"венгр тілі (Венгрия)"
vi,"вьетнам тілі"
vi_VN,"вьетнам тілі (Вьетнам)"
gl,"галисия тілі"
gl_ES,"галисия тілі (Испания)"
lg,"ганда тілі"
lg_UG,"ганда тілі (Уганда)"
el,"грек тілі"
el_GR,"грек тілі (Грекия)"
el_CY,"грек тілі (Кипр)"
ka,"грузин тілі"
ka_GE,"грузин тілі (Грузия)"
gu,"гуджарати тілі"
gu_IN,"гуджарати тілі (Үндістан)"
gd,"гэль тілі"
gd_GB,"гэль тілі (Ұлыбритания)"
da,"дат тілі"
da_GL,"дат тілі (Гренландия)"
da_DK,"дат тілі (Дания)"
dz,"дзонг-кэ тілі"
dz_BT,"дзонг-кэ тілі (Бутан)"
ja,"жапон тілі"
ja_JP,"жапон тілі (Жапония)"
zu,"зулу тілі"
zu_ZA,"зулу тілі (Оңтүстік Африка Республикасы)"
he,"иврит тілі"
he_IL,"иврит тілі (Израиль)"
ig,"игбо тілі"
ig_NG,"игбо тілі (Нигерия)"
yi,"идиш тілі"
id,"индонезия тілі"
id_ID,"индонезия тілі (Индонезия)"
ga,"ирланд тілі"
ga_IE,"ирланд тілі (Ирландия)"
is,"исланд тілі"
is_IS,"исланд тілі (Исландия)"
es,"испан тілі"
es_US,"испан тілі (Америка Құрама Штаттары)"
es_AR,"испан тілі (Аргентина)"
es_BZ,"испан тілі (Белиз)"
es_BO,"испан тілі (Боливия)"
es_BR,"испан тілі (Бразилия)"
es_VE,"испан тілі (Венесуэла)"
es_GT,"испан тілі (Гватемала)"
es_HN,"испан тілі (Гондурас)"
es_DO,"испан тілі (Доминикан Республикасы)"
es_ES,"испан тілі (Испания)"
es_IC,"испан тілі (Канар аралдары)"
es_CO,"испан тілі (Колумбия)"
es_CR,"испан тілі (Коста-Рика)"
es_CU,"испан тілі (Куба)"
es_MX,"испан тілі (Мексика)"
es_NI,"испан тілі (Никарагуа)"
es_PA,"испан тілі (Панама)"
es_PY,"испан тілі (Парагвай)"
es_PE,"испан тілі (Перу)"
es_PR,"испан тілі (Пуэрто-Рико)"
es_SV,"испан тілі (Сальвадор)"
es_EA,"испан тілі (Сеута және Мелилья)"
es_UY,"испан тілі (Уругвай)"
es_PH,"испан тілі (Филиппин)"
es_CL,"испан тілі (Чили)"
es_EC,"испан тілі (Эквадор)"
es_GQ,"испан тілі (Экваторлық Гвинея)"
it,"итальян тілі"
it_VA,"итальян тілі (Ватикан)"
it_IT,"итальян тілі (Италия)"
it_SM,"итальян тілі (Сан-Марино)"
it_CH,"итальян тілі (Швейцария)"
yo,"йоруба тілі"
yo_BJ,"йоруба тілі (Бенин)"
yo_NG,"йоруба тілі (Нигерия)"
kl,"калаалисут тілі"
kl_GL,"калаалисут тілі (Гренландия)"
kn,"каннада тілі"
kn_IN,"каннада тілі (Үндістан)"
ca,"каталан тілі"
ca_AD,"каталан тілі (Андорра)"
ca_ES,"каталан тілі (Испания)"
ca_IT,"каталан тілі (Италия)"
ca_FR,"каталан тілі (Франция)"
ks,"кашмир тілі"
ks_IN,"кашмир тілі (Үндістан)"
qu,"кечуа тілі"
qu_BO,"кечуа тілі (Боливия)"
qu_PE,"кечуа тілі (Перу)"
qu_EC,"кечуа тілі (Эквадор)"
ki,"кикуйю тілі"
ki_KE,"кикуйю тілі (Кения)"
rw,"киньяруанда тілі"
rw_RW,"киньяруанда тілі (Руанда)"
ko,"корей тілі"
ko_KR,"корей тілі (Оңтүстік Корея)"
ko_KP,"корей тілі (Солтүстік Корея)"
kw,"корн тілі"
kw_GB,"корн тілі (Ұлыбритания)"
km,"кхмер тілі"
km_KH,"кхмер тілі (Камбоджа)"
kk,"қазақ тілі"
kk_KZ,"қазақ тілі (Қазақстан)"
ky,"қырғыз тілі"
ky_KG,"қырғыз тілі (Қырғызстан)"
zh,"қытай тілі"
zh_Hant_HK,"қытай тілі (дәстүрлі қытай иероглифы, Қытай Халық Республикасының Гонконг арнайы әкімшілік ауданы)"
zh_Hant_MO,"қытай тілі (дәстүрлі қытай иероглифы, Қытай Халық Республикасының Макао арнайы әкімшілік ауданы)"
zh_Hant_TW,"қытай тілі (дәстүрлі қытай иероглифы, Тайвань)"
zh_Hant,"қытай тілі (дәстүрлі қытай иероглифы)"
zh_Hans_HK,"қытай тілі (жеңілдетілген қытай иероглифы, Қытай Халық Республикасының Гонконг арнайы әкімшілік ауданы)"
zh_Hans_MO,"қытай тілі (жеңілдетілген қытай иероглифы, Қытай Халық Республикасының Макао арнайы әкімшілік ауданы)"
zh_Hans_CN,"қытай тілі (жеңілдетілген қытай иероглифы, Қытай)"
zh_Hans_SG,"қытай тілі (жеңілдетілген қытай иероглифы, Сингапур)"
zh_Hans,"қытай тілі (жеңілдетілген қытай иероглифы)"
zh_HK,"қытай тілі (Қытай Халық Республикасының Гонконг арнайы әкімшілік ауданы)"
zh_MO,"қытай тілі (Қытай Халық Республикасының Макао арнайы әкімшілік ауданы)"
zh_CN,"қытай тілі (Қытай)"
zh_SG,"қытай тілі (Сингапур)"
zh_TW,"қытай тілі (Тайвань)"
lo,"лаос тілі"
lo_LA,"лаос тілі (Лаос)"
lv,"латыш тілі"
lv_LV,"латыш тілі (Латвия)"
ln,"лингала тілі"
ln_AO,"лингала тілі (Ангола)"
ln_CG,"лингала тілі (Конго-Браззавиль Республикасы)"
ln_CD,"лингала тілі (Конго)"
ln_CF,"лингала тілі (Орталық Африка Республикасы)"
lt,"литва тілі"
lt_LT,"литва тілі (Литва)"
lu,"луба-катанга тілі"
lu_CD,"луба-катанга тілі (Конго)"
lb,"люксембург тілі"
lb_LU,"люксембург тілі (Люксембург)"
mk,"македон тілі"
mk_MK,"македон тілі (Македония)"
mg,"малагаси тілі"
mg_MG,"малагаси тілі (Мадагаскар)"
ms,"малай тілі"
ms_BN,"малай тілі (Бруней)"
ms_MY,"малай тілі (Малайзия)"
ms_SG,"малай тілі (Сингапур)"
ml,"малаялам тілі"
ml_IN,"малаялам тілі (Үндістан)"
mt,"мальта тілі"
mt_MT,"мальта тілі (Мальта)"
mr,"маратхи тілі"
mr_IN,"маратхи тілі (Үндістан)"
mn,"моңғол тілі"
mn_MN,"моңғол тілі (Моңғолия)"
gv,"мэн тілі"
gv_IM,"мэн тілі (Мэн аралы)"
de,"неміс тілі"
de_AT,"неміс тілі (Австрия)"
de_BE,"неміс тілі (Бельгия)"
de_DE,"неміс тілі (Германия)"
de_IT,"неміс тілі (Италия)"
de_LI,"неміс тілі (Лихтенштейн)"
de_LU,"неміс тілі (Люксембург)"
de_CH,"неміс тілі (Швейцария)"
ne,"непал тілі"
ne_NP,"непал тілі (Непал)"
ne_IN,"непал тілі (Үндістан)"
nl,"нидерланд тілі"
nl_AW,"нидерланд тілі (Аруба)"
nl_BE,"нидерланд тілі (Бельгия)"
nl_BQ,"нидерланд тілі (Кариб Нидерландысы)"
nl_CW,"нидерланд тілі (Кюрасао)"
nl_NL,"нидерланд тілі (Нидерланд)"
nl_SX,"нидерланд тілі (Синт-Мартен)"
nl_SR,"нидерланд тілі (Суринам)"
no,"норвег тілі"
no_NO,"норвег тілі (Норвегия)"
nb,"норвегиялық букмол тілі"
nb_NO,"норвегиялық букмол тілі (Норвегия)"
nb_SJ,"норвегиялық букмол тілі (Шпицберген және Ян-Майен)"
nn,"норвегиялық нюнорск тілі"
nn_NO,"норвегиялық нюнорск тілі (Норвегия)"
or,"ория тілі"
or_IN,"ория тілі (Үндістан)"
om,"оромо тілі"
om_KE,"оромо тілі (Кения)"
om_ET,"оромо тілі (Эфиопия)"
ru,"орыс тілі"
ru_BY,"орыс тілі (Беларусь)"
ru_KZ,"орыс тілі (Қазақстан)"
ru_KG,"орыс тілі (Қырғызстан)"
ru_MD,"орыс тілі (Молдова)"
ru_RU,"орыс тілі (Ресей)"
ru_UA,"орыс тілі (Украина)"
os,"осетин тілі"
os_GE,"осетин тілі (Грузия)"
os_RU,"осетин тілі (Ресей)"
uz,"өзбек тілі"
uz_Arab_AF,"өзбек тілі (араб жазуы, Ауғанстан)"
uz_Arab,"өзбек тілі (араб жазуы)"
uz_AF,"өзбек тілі (Ауғанстан)"
uz_Cyrl_UZ,"өзбек тілі (кирилл жазуы, Өзбекстан)"
uz_Cyrl,"өзбек тілі (кирилл жазуы)"
uz_Latn_UZ,"өзбек тілі (латын жазуы, Өзбекстан)"
uz_Latn,"өзбек тілі (латын жазуы)"
uz_UZ,"өзбек тілі (Өзбекстан)"
fa,"парсы тілі"
fa_AF,"парсы тілі (Ауғанстан)"
fa_IR,"парсы тілі (Иран)"
pa,"пенджаб тілі"
pa_Arab_PK,"пенджаб тілі (араб жазуы, Пәкістан)"
pa_Arab,"пенджаб тілі (араб жазуы)"
pa_Guru_IN,"пенджаб тілі (гурмукхи жазуы, Үндістан)"
pa_Guru,"пенджаб тілі (гурмукхи жазуы)"
pa_PK,"пенджаб тілі (Пәкістан)"
pa_IN,"пенджаб тілі (Үндістан)"
pl,"поляк тілі"
pl_PL,"поляк тілі (Польша)"
pt,"португал тілі"
pt_AO,"португал тілі (Ангола)"
pt_BR,"португал тілі (Бразилия)"
pt_GW,"португал тілі (Гвинея-Бисау)"
pt_CV,"португал тілі (Кабо-Верде)"
pt_MO,"португал тілі (Қытай Халық Республикасының Макао арнайы әкімшілік ауданы)"
pt_LU,"португал тілі (Люксембург)"
pt_MZ,"португал тілі (Мозамбик)"
pt_PT,"португал тілі (Португалия)"
pt_ST,"португал тілі (Сан-Томе және Принсипи)"
pt_TL,"португал тілі (Тимор-Лесте)"
pt_CH,"португал тілі (Швейцария)"
pt_GQ,"португал тілі (Экваторлық Гвинея)"
ps,"пушту тілі"
ps_AF,"пушту тілі (Ауғанстан)"
rm,"романш тілі"
rm_CH,"романш тілі (Швейцария)"
ro,"румын тілі"
ro_MD,"румын тілі (Молдова)"
ro_RO,"румын тілі (Румыния)"
rn,"рунди тілі"
rn_BI,"рунди тілі (Бурунди)"
sg,"санго тілі"
sg_CF,"санго тілі (Орталық Африка Республикасы)"
sr,"серб тілі"
sr_BA,"серб тілі (Босния және Герцеговина)"
sr_Cyrl_BA,"серб тілі (кирилл жазуы, Босния және Герцеговина)"
sr_Cyrl_XK,"серб тілі (кирилл жазуы, Косово)"
sr_Cyrl_RS,"серб тілі (кирилл жазуы, Сербия)"
sr_Cyrl_ME,"серб тілі (кирилл жазуы, Черногория)"
sr_Cyrl,"серб тілі (кирилл жазуы)"
sr_XK,"серб тілі (Косово)"
sr_Latn_BA,"серб тілі (латын жазуы, Босния және Герцеговина)"
sr_Latn_XK,"серб тілі (латын жазуы, Косово)"
sr_Latn_RS,"серб тілі (латын жазуы, Сербия)"
sr_Latn_ME,"серб тілі (латын жазуы, Черногория)"
sr_Latn,"серб тілі (латын жазуы)"
sr_RS,"серб тілі (Сербия)"
sr_ME,"серб тілі (Черногория)"
sh,"серб-хорват тілі"
sh_BA,"серб-хорват тілі (Босния және Герцеговина)"
si,"сингал тілі"
si_LK,"сингал тілі (Шри-Ланка)"
sk,"словак тілі"
sk_SK,"словак тілі (Словакия)"
sl,"словен тілі"
sl_SI,"словен тілі (Словения)"
nd,"солтүстік ндебеле тілі"
nd_ZW,"солтүстік ндебеле тілі (Зимбабве)"
se,"солтүстік саам тілі"
se_NO,"солтүстік саам тілі (Норвегия)"
se_FI,"солтүстік саам тілі (Финляндия)"
se_SE,"солтүстік саам тілі (Швеция)"
so,"сомали тілі"
so_DJ,"сомали тілі (Джибути)"
so_KE,"сомали тілі (Кения)"
so_SO,"сомали тілі (Сомали)"
so_ET,"сомали тілі (Эфиопия)"
sw,"суахили тілі"
sw_KE,"суахили тілі (Кения)"
sw_CD,"суахили тілі (Конго)"
sw_TZ,"суахили тілі (Танзания)"
sw_UG,"суахили тілі (Уганда)"
ii,"сычуан и тілі"
ii_CN,"сычуан и тілі (Қытай)"
th,"тай тілі"
th_TH,"тай тілі (Тайланд)"
ta,"тамил тілі"
ta_MY,"тамил тілі (Малайзия)"
ta_SG,"тамил тілі (Сингапур)"
ta_IN,"тамил тілі (Үндістан)"
ta_LK,"тамил тілі (Шри-Ланка)"
te,"телугу тілі"
te_IN,"телугу тілі (Үндістан)"
bo,"тибет тілі"
bo_CN,"тибет тілі (Қытай)"
bo_IN,"тибет тілі (Үндістан)"
ti,"тигринья тілі"
ti_ER,"тигринья тілі (Эритрея)"
ti_ET,"тигринья тілі (Эфиопия)"
to,"тонган тілі"
to_TO,"тонган тілі (Тонга)"
tr,"түрік тілі"
tr_CY,"түрік тілі (Кипр)"
tr_TR,"түрік тілі (Түркия)"
uk,"украин тілі"
uk_UA,"украин тілі (Украина)"
ur,"урду тілі"
ur_PK,"урду тілі (Пәкістан)"
ur_IN,"урду тілі (Үндістан)"
ug,"ұйғыр тілі"
ug_CN,"ұйғыр тілі (Қытай)"
fo,"фарер тілі"
fo_DK,"фарер тілі (Дания)"
fo_FO,"фарер тілі (Фарер аралдары)"
fi,"фин тілі"
fi_FI,"фин тілі (Финляндия)"
fr,"француз тілі"
fr_DZ,"француз тілі (Алжир)"
fr_BE,"француз тілі (Бельгия)"
fr_BJ,"француз тілі (Бенин)"
fr_BF,"француз тілі (Буркина-Фасо)"
fr_BI,"француз тілі (Бурунди)"
fr_VU,"француз тілі (Вануату)"
fr_GA,"француз тілі (Габон)"
fr_HT,"француз тілі (Гаити)"
fr_GP,"француз тілі (Гваделупа)"
fr_GN,"француз тілі (Гвинея)"
fr_DJ,"француз тілі (Джибути)"
fr_NC,"француз тілі (Жаңа Каледония)"
fr_CM,"француз тілі (Камерун)"
fr_CA,"француз тілі (Канада)"
fr_KM,"француз тілі (Комор аралдары)"
fr_CG,"француз тілі (Конго-Браззавиль Республикасы)"
fr_CD,"француз тілі (Конго)"
fr_CI,"француз тілі (Кот-д’Ивуар)"
fr_LU,"француз тілі (Люксембург)"
fr_MU,"француз тілі (Маврикий)"
fr_MR,"француз тілі (Мавритания)"
fr_MG,"француз тілі (Мадагаскар)"
fr_YT,"француз тілі (Майотта)"
fr_ML,"француз тілі (Мали)"
fr_MA,"француз тілі (Марокко)"
fr_MQ,"француз тілі (Мартиника)"
fr_MC,"француз тілі (Монако)"
fr_NE,"француз тілі (Нигер)"
fr_CF,"француз тілі (Орталық Африка Республикасы)"
fr_RE,"француз тілі (Реюньон)"
fr_RW,"француз тілі (Руанда)"
fr_SC,"француз тілі (Сейшель аралдары)"
fr_BL,"француз тілі (Сен-Бартелеми)"
fr_MF,"француз тілі (Сен-Мартен)"
fr_PM,"француз тілі (Сен-Пьер және Микелон)"
fr_SN,"француз тілі (Сенегал)"
fr_SY,"француз тілі (Сирия)"
fr_TG,"француз тілі (Того)"
fr_TN,"француз тілі (Тунис)"
fr_WF,"француз тілі (Уоллис және Футуна)"
fr_FR,"француз тілі (Франция)"
fr_GF,"француз тілі (Француз Гвианасы)"
fr_PF,"француз тілі (Француз Полинезиясы)"
fr_TD,"француз тілі (Чад)"
fr_CH,"француз тілі (Швейцария)"
fr_GQ,"француз тілі (Экваторлық Гвинея)"
ff,"фула тілі"
ff_GN,"фула тілі (Гвинея)"
ff_CM,"фула тілі (Камерун)"
ff_MR,"фула тілі (Мавритания)"
ff_SN,"фула тілі (Сенегал)"
ha,"хауса тілі"
ha_GH,"хауса тілі (Гана)"
ha_NE,"хауса тілі (Нигер)"
ha_NG,"хауса тілі (Нигерия)"
hi,"хинди тілі"
hi_IN,"хинди тілі (Үндістан)"
hr,"хорват тілі"
hr_BA,"хорват тілі (Босния және Герцеговина)"
hr_HR,"хорват тілі (Хорватия)"
cs,"чех тілі"
cs_CZ,"чех тілі (Чехия)"
sv,"швед тілі"
sv_AX,"швед тілі (Аланд аралдары)"
sv_FI,"швед тілі (Финляндия)"
sv_SE,"швед тілі (Швеция)"
ce,"шешен тілі"
ce_RU,"шешен тілі (Ресей)"
sn,"шона тілі"
sn_ZW,"шона тілі (Зимбабве)"
ee,"эве тілі"
ee_GH,"эве тілі (Гана)"
ee_TG,"эве тілі (Того)"
eo,"эсперанто тілі"
et,"эстон тілі"
et_EE,"эстон тілі (Эстония)"
tl,Tagalog
tl_PH,"Tagalog (Philippines)"
