en_SD,"инглизча (Судан)"
en_SL,"инглизча (Сьерра-Леоне)"
en_TZ,"инглизча (Танзания)"
en_TK,"инглизча (Токелау)"
en_TO,"инглизча (Тонга)"
en_TT,"инглизча (Тринидад ва Тобаго)"
en_TV,"инглизча (Тувалу)"
en_TC,"инглизча (Туркс ва Кайкос ороллари)"
en_UG,"инглизча (Уганда)"
en_FJ,"инглизча (Фижи)"
en_PH,"инглизча (Филиппин)"
en_FI,"инглизча (Финляндия)"
en_FK,"инглизча (Фолкленд ороллари)"
en_IN,"инглизча (Ҳиндистон)"
en_CH,"инглизча (Швейцария)"
en_SE,"инглизча (Швеция)"
en_MP,"инглизча (Шимолий Марианна ороллари)"
en_ER,"инглизча (Эритрея)"
en_JM,"инглизча (Ямайка)"
en_NZ,"инглизча (Янги Зеландия)"
id,индонезча
id_ID,"индонезча (Индонезия)"
ga,ирландча
ga_IE,"ирландча (Ирландия)"
is,исландча
is_IS,"исландча (Исландия)"
es,испанча
es_US,"испанча (Америка Қўшма Штатлари)"
es_AR,"испанча (Аргентина)"
es_BZ,"испанча (Белиз)"
es_BO,"испанча (Боливия)"
es_BR,"испанча (Бразилия)"
es_VE,"испанча (Венесуэла)"
es_GT,"испанча (Гватемала)"
es_HN,"испанча (Гондурас)"
es_DO,"испанча (Доминикан Республикаси)"
es_ES,"испанча (Испания)"
es_IC,"испанча (Канар ороллари)"
es_CO,"испанча (Колумбия)"
es_CR,"испанча (Коста-Рика)"
es_CU,"испанча (Куба)"
es_MX,"испанча (Мексика)"
es_NI,"испанча (Никарагуа)"
es_PA,"испанча (Панама)"
es_PY,"испанча (Парагвай)"
es_PE,"испанча (Перу)"
es_PR,"испанча (Пуэрто-Рико)"
es_SV,"испанча (Салвадор)"
es_EA,"испанча (Сэута ва Мелилла)"
es_UY,"испанча (Уругвай)"
es_PH,"испанча (Филиппин)"
es_CL,"испанча (Чили)"
es_EC,"испанча (Эквадор)"
es_GQ,"испанча (Экваториал Гвинея)"
it,италянча
it_VA,"италянча (Ватикан)"
it_IT,"италянча (Италия)"
it_SM,"италянча (Сан-Марино)"
it_CH,"италянча (Швейцария)"
yo,йоруба
yo_BJ,"йоруба (Бенин)"
yo_NG,"йоруба (Нигерия)"
kn,каннада
kn_IN,"каннада (Ҳиндистон)"
ca,каталонча
ca_AD,"каталонча (Андорра)"
ca_ES,"каталонча (Испания)"
ca_IT,"каталонча (Италия)"
ca_FR,"каталонча (Франция)"
ks,кашмирча
ks_IN,"кашмирча (Ҳиндистон)"
qu,кечуа
qu_BO,"кечуа (Боливия)"
qu_PE,"кечуа (Перу)"
qu_EC,"кечуа (Эквадор)"
ki,кикую
ki_KE,"кикую (Кения)"
rw,киняруанда
rw_RW,"киняруанда (Руанда)"
ko,корейсча
ko_KR,"корейсча (Жанубий Корея)"
ko_KP,"корейсча (Шимолий Корея)"
kw,корнча
kw_GB,"корнча (Буюк Британия)"
ky,қирғизча
ky_KG,"қирғизча (Қирғизистон)"
kk,қозоқча
kk_KZ,"қозоқча (Қозоғистон)"
lo,лаосча
lo_LA,"лаосча (Лаос)"
lv,латишча
lv_LV,"латишча (Латвия)"
ln,лингалча
ln_AO,"лингалча (Ангола)"
ln_CG,"лингалча (Конго Браззавиль)"
ln_CD,"лингалча (Конго-Киншаса)"
ln_CF,"лингалча (Марказий Африка Республикаси)"
lt,литвача
lt_LT,"литвача (Литва)"
lu,луба-катанга
lu_CD,"луба-катанга (Конго-Киншаса)"
lb,люксембургча
lb_LU,"люксембургча (Люксембург)"
mk,македонча
mk_MK,"македонча (Македония)"
mg,малагасийча
mg_MG,"малагасийча (Мадагаскар)"
ms,"малай тил"
ms_BN,"малай тил (Бруней)"
ms_MY,"малай тил (Малайзия)"
ms_SG,"малай тил (Сингапур)"
ml,малаялам
ml_IN,"малаялам (Ҳиндистон)"
mt,малтача
mt_MT,"малтача (Мальта)"
mr,маратхи
mr_IN,"маратхи (Ҳиндистон)"
mn,мўғулча
mn_MN,"мўғулча (Монголия)"
gv,мэнча
gv_IM,"мэнча (Мэн ороли)"
de,немисча
de_AT,"немисча (Австрия)"
de_BE,"немисча (Бельгия)"
de_DE,"немисча (Германия)"
de_IT,"немисча (Италия)"
de_LI,"немисча (Лихтенштейн)"
de_LU,"немисча (Люксембург)"
de_CH,"немисча (Швейцария)"
ne,непалча
ne_NP,"непалча (Непал)"
ne_IN,"непалча (Ҳиндистон)"
nb,"норвегча бокмал"
nb_NO,"норвегча бокмал (Норвегия)"
nb_SJ,"норвегча бокмал (Свалбард ва Ян-Майен)"
nn,"норвегча нюнорск"
nn_NO,"норвегча нюнорск (Норвегия)"
or,одия
or_IN,"одия (Ҳиндистон)"
az,озарбайжонча
az_Cyrl_AZ,"озарбайжонча (Кирил, Озарбайжон)"
az_Cyrl,"озарбайжонча (Кирил)"
az_Latn_AZ,"озарбайжонча (Лотин, Озарбайжон)"
az_Latn,"озарбайжонча (Лотин)"
az_AZ,"озарбайжонча (Озарбайжон)"
om,оромо
om_KE,"оромо (Кения)"
om_ET,"оромо (Эфиопия)"
pa,панжобча
pa_Arab_PK,"панжобча (Араб, Покистон)"
pa_Arab,"панжобча (Араб)"
pa_Guru_IN,"панжобча (Гурмухи, Ҳиндистон)"
pa_Guru,"панжобча (Гурмухи)"
pa_PK,"панжобча (Покистон)"
pa_IN,"панжобча (Ҳиндистон)"
pl,полякча
pl_PL,"полякча (Польша)"
pt,португалча
pt_AO,"португалча (Ангола)"
pt_BR,"португалча (Бразилия)"
pt_GW,"португалча (Гвинея-Бисау)"
pt_CV,"португалча (Кабо-Верде)"
pt_LU,"португалча (Люксембург)"
pt_MO,"португалча (Макао (Хитой ММҲ))"
pt_MZ,"португалча (Мозамбик)"
pt_PT,"португалча (Португалия)"
pt_ST,"португалча (Сан-Томе ва Принсипи)"
pt_TL,"португалча (Тимор-Лесте)"
pt_CH,"португалча (Швейцария)"
pt_GQ,"португалча (Экваториал Гвинея)"
ps,пушту
ps_AF,"пушту (Афғонистон)"
rm,романшча
rm_CH,"романшча (Швейцария)"
ro,руминча
ro_MD,"руминча (Молдова)"
ro_RO,"руминча (Руминия)"
rn,рунди
rn_BI,"рунди (Бурунди)"
ru,русча
ru_BY,"русча (Белорусия)"
ru_KG,"русча (Қирғизистон)"
ru_KZ,"русча (Қозоғистон)"
ru_MD,"русча (Молдова)"
ru_RU,"русча (Россия)"
ru_UA,"русча (Украина)"
sg,санго
sg_CF,"санго (Марказий Африка Республикаси)"
sr,сербча
sr_BA,"сербча (Босния ва Герцеговина)"
sr_Cyrl_BA,"сербча (Кирил, Босния ва Герцеговина)"
sr_Cyrl_XK,"сербча (Кирил, Косово)"
sr_Cyrl_RS,"сербча (Кирил, Сербия)"
sr_Cyrl_ME,"сербча (Кирил, Черногория)"
sr_Cyrl,"сербча (Кирил)"
sr_XK,"сербча (Косово)"
sr_Latn_BA,"сербча (Лотин, Босния ва Герцеговина)"
sr_Latn_XK,"сербча (Лотин, Косово)"
sr_Latn_RS,"сербча (Лотин, Сербия)"
sr_Latn_ME,"сербча (Лотин, Черногория)"
sr_Latn,"сербча (Лотин)"
sr_RS,"сербча (Сербия)"
sr_ME,"сербча (Черногория)"
si,сингалча
si_LK,"сингалча (Шри-Ланка)"
sk,словакча
sk_SK,"словакча (Словакия)"
sl,словенча
sl_SI,"словенча (Словения)"
so,сомалича
so_DJ,"сомалича (Жибути)"
so_KE,"сомалича (Кения)"
so_SO,"сомалича (Сомали)"
so_ET,"сомалича (Эфиопия)"
sw,суахили
sw_KE,"суахили (Кения)"
sw_CD,"суахили (Конго-Киншаса)"
sw_TZ,"суахили (Танзания)"
sw_UG,"суахили (Уганда)"
th,тайча
th_TH,"тайча (Таиланд)"
ta,тамилча
ta_MY,"тамилча (Малайзия)"
ta_SG,"тамилча (Сингапур)"
ta_IN,"тамилча (Ҳиндистон)"
ta_LK,"тамилча (Шри-Ланка)"
te,телугу
te_IN,"телугу (Ҳиндистон)"
bo,тибетча
bo_CN,"тибетча (Хитой)"
bo_IN,"тибетча (Ҳиндистон)"
ti,тигриняча
ti_ER,"тигриняча (Эритрея)"
ti_ET,"тигриняча (Эфиопия)"
to,тонганча
to_TO,"тонганча (Тонга)"
tr,туркча
tr_CY,"туркча (Кипр)"
tr_TR,"туркча (Туркия)"
uz,ўзбекча
uz_Arab_AF,"ўзбекча (Араб, Афғонистон)"
uz_Arab,"ўзбекча (Араб)"
uz_AF,"ўзбекча (Афғонистон)"
uz_Cyrl_UZ,"ўзбекча (Кирил, Ўзбекистон)"
uz_Cyrl,"ўзбекча (Кирил)"
uz_Latn_UZ,"ўзбекча (Лотин, Ўзбекистон)"
uz_Latn,"ўзбекча (Лотин)"
uz_UZ,"ўзбекча (Ўзбекистон)"
ug,уйғурча
ug_CN,"уйғурча (Хитой)"
uk,украинча
uk_UA,"украинча (Украина)"
ur,урду
ur_PK,"урду (Покистон)"
ur_IN,"урду (Ҳиндистон)"
cy,уэлсча
cy_GB,"уэлсча (Буюк Британия)"
fo,фарерча
fo_DK,"фарерча (Дания)"
fo_FO,"фарерча (Фарер ороллари)"
fi,финча
fi_FI,"финча (Финляндия)"
fa,форсий
fa_AF,"форсий (Афғонистон)"
fa_IR,"форсий (Эрон)"
fr,французча
fr_BE,"французча (Бельгия)"
fr_BJ,"французча (Бенин)"
fr_BF,"французча (Буркина-Фасо)"
fr_BI,"французча (Бурунди)"
fr_VU,"французча (Вануату)"
fr_GA,"французча (Габон)"
fr_HT,"французча (Гаити)"
fr_GP,"французча (Гваделупе)"
fr_GN,"французча (Гвинея)"
fr_DZ,"французча (Жазоир)"
fr_DJ,"французча (Жибути)"
fr_CM,"французча (Камерун)"
fr_CA,"французча (Канада)"
fr_KM,"французча (Комор ороллари)"
fr_CG,"французча (Конго Браззавиль)"
fr_CD,"французча (Конго-Киншаса)"
fr_CI,"французча (Кот-д’Ивуар)"
fr_LU,"французча (Люксембург)"
fr_MU,"французча (Маврикий)"
fr_MR,"французча (Мавритания)"
fr_MG,"французча (Мадагаскар)"
fr_YT,"французча (Майотта)"
fr_ML,"французча (Мали)"
fr_CF,"французча (Марказий Африка Республикаси)"
fr_MA,"французча (Марокаш)"
fr_MQ,"французча (Мартиника)"
fr_MC,"французча (Монако)"
fr_NE,"французча (Нигер)"
fr_RE,"французча (Реюнион)"
fr_RW,"французча (Руанда)"
fr_SC,"французча (Сейшел ороллари)"
fr_BL,"французча (Сен-Бартелеми)"
fr_SN,"французча (Сенегал)"
fr_MF,"французча (Сент-Мартин)"
fr_PM,"французча (Сент-Пьер ва Микелон)"
fr_SY,"французча (Сурия)"
fr_TG,"французча (Того)"
fr_TN,"французча (Тунис)"
fr_WF,"французча (Уоллис ва Футуна)"
fr_FR,"французча (Франция)"
fr_GF,"французча (Француз Гвианаси)"
fr_PF,"французча (Француз Полинезияси)"
fr_TD,"французча (Чад)"
fr_CH,"французча (Швейцария)"
fr_GQ,"французча (Экваториал Гвинея)"
fr_NC,"французча (Янги Каледония)"
ff,фулаҳ
ff_GN,"фулаҳ (Гвинея)"
ff_CM,"фулаҳ (Камерун)"
ff_MR,"фулаҳ (Мавритания)"
ff_SN,"фулаҳ (Сенегал)"
ha,хауса
ha_GH,"хауса (Гана)"
ha_NE,"хауса (Нигер)"
ha_NG,"хауса (Нигерия)"
zh,хитойча
zh_Hant_HK,"хитойча (Анъанавий, Гонконг (Хитой ММҲ))"
zh_Hant_MO,"хитойча (Анъанавий, Макао (Хитой ММҲ))"
zh_Hant_TW,"хитойча (Анъанавий, Тайван)"
zh_Hant,"хитойча (Анъанавий)"
zh_HK,"хитойча (Гонконг (Хитой ММҲ))"
zh_MO,"хитойча (Макао (Хитой ММҲ))"
zh_SG,"хитойча (Сингапур)"
zh_Hans_HK,"хитойча (Соддалаштирилган, Гонконг (Хитой ММҲ))"
zh_Hans_MO,"хитойча (Соддалаштирилган, Макао (Хитой ММҲ))"
zh_Hans_SG,"хитойча (Соддалаштирилган, Сингапур)"
zh_Hans_CN,"хитойча (Соддалаштирилган, Хитой)"
zh_Hans,"хитойча (Соддалаштирилган)"
zh_TW,"хитойча (Тайван)"
zh_CN,"хитойча (Хитой)"
km,хмерча
km_KH,"хмерча (Камбоджа)"
hr,хорватча
hr_BA,"хорватча (Босния ва Герцеговина)"
hr_HR,"хорватча (Хорватия)"
hi,ҳинди
hi_IN,"ҳинди (Ҳиндистон)"
cs,чехча
cs_CZ,"чехча (Чехия)"
ce,"чечен тили"
ce_RU,"чечен тили (Россия)"
sv,шведча
sv_AX,"шведча (Аланд ороллари)"
sv_FI,"шведча (Финляндия)"
sv_SE,"шведча (Швеция)"
nd,"шимолий ндебеле"
nd_ZW,"шимолий ндебеле (Зимбабве)"
se,"шимолий саамча"
se_NO,"шимолий саамча (Норвегия)"
se_FI,"шимолий саамча (Финляндия)"
se_SE,"шимолий саамча (Швеция)"
sn,шона
sn_ZW,"шона (Зимбабве)"
gd,"шотландча гаелик"
gd_GB,"шотландча гаелик (Буюк Британия)"
ee,эвеча
ee_GH,"эвеча (Гана)"
ee_TG,"эвеча (Того)"
eo,эсперанто
et,эстонча
et_EE,"эстонча (Эстония)"
ja,японча
ja_JP,"японча (Япония)"
